ID_CLB;INTITULE_COMPLET;VALEUR;ETAT;STATUT_RECRUTEMENT;DATE_DEBUT_INCLUSION;DATE_FIN_INCLUSION;DATE_DEBUT_ETUDE;DATE_FIN_ETUDE;ROLE_CLB;DETAIL_ROLE_CLB
ET00100785;PROVIN: Etude de phase 1 d une combinaison orale de propranolol (Hemangiol)et de vinorelbine (Navelbine) métronomique pour les tumeurs en rechutes ou réfractaires de l enfant et de l adolescent.;NCT02897986;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100796;ENERGY Nivolumab EldeRly GFPC 08-2015: Etude randomisée de phase III étudiant le nivolumab versus une chimiothérapie adaptée dans le traitement de première ligne du CBNPC avancé chez patient PS 2 ou de plus de 70 ans;NCT03351361;420;Close aux inclusions;2018-07-04 00:00:00.000;NULL;NULL;NULL;O;
ET00100803;SUNNIFORECAST: Phase 2 randomisée, ouverte, comparant l’association Nivolumab avec Ipilimumab au traitement de référence chez des patients atteints de carcinome rénal non à cellules claires, non traité précédemment, non résécable ou métastatique;NCT03075423;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100819;PEACE 5 : Etude randomisée contrôlée de phase III évaluant le rôle du traitement ablatif local des métastases chez les patients atteints de cancer de prostate oligométastatique hormonosensible;03569241;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET00100876;B-FAST BO29554 :Etude multicentrique de phase II/III évaluant l'efficacité et la tolérance de différentes thérapies ciblées chez des patients présentant un cancer bronchique non à petites cellules localement avancé ou métastatique, présentant des mutations somatiques actionnables détectées dans le sang (b-FAST: Blood-First Assay Screening Trial);NCT03178552;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100883;PUMA-NER-201 SUMMIT:Etude de phase II, en ouvert sur le neratinib chez les patients souffrant de tumeurs solides avec mutations somatiques du facteur de croissance épidermique (EGFR, HER2, HER3) ou amplification du gène EGFR;NCT01953926;410;Suspendue aux inclusions;NULL;2019-06-30 00:00:00.000;NULL;NULL;O;
ET00100901;CHRONO: la CHirurgie retardée du cancer avancé de l'Ovaire après chimiothérapie NéOadjuvante: étude de phase II , multicentrique, en ouvert, chez des patientes avec un cancer ovarien non résécable nécessitant un traitement par chimiothérapie néoadjuvante;NCT03579394;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100923;"BO39610: Etude de phase Ib/II, multicentrique, randomis&eacute;e et en ouvert, visant &agrave; &eacute;valuer l'efficacit&eacute; et la s&eacute;curit&eacute; d'immunoth&eacute;rapie en traitements combin&eacute;s chez des patients atteints d'un cancer m&eacute;tastatique du poumon non &agrave; petites cellules (MORPHEUS IMCORE)";NCT03337698;600;Terminée;2018-10-29 00:00:00.000;2023-04-19 00:00:00.000;2018-10-29 00:00:00.000;2023-04-19 00:00:00.000;O;
ET00100933;ADJORL1 : Immunothérapie adjuvante après chirurgie de rattrapage dans les carcinomes épidermoïdes des voies aéro-digestives supérieures (VADS): essai de phase 2 évaluant l’efficacité et la toxicité du nivolumab seul, et de l’association nivolumab et ipilimumab;NCT03406247;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100939;MO39193 Impassion 132: Étude de Phase III, multicentrique, randomisée, en double aveugle, contrôlée versus placebo, évaluant l’efficacité et la tolérance de l’atezolizumab (anticorps anti-PD-L1) en association à une chimiothérapie chez des patients atteints d’un cancer du sein triple négatif récurrent (localement avancé et inopérable ou métastatique), présentant une récidive précoce;NCT03371017;600;Terminée;2018-07-03 00:00:00.000;NULL;2018-02-01 00:00:00.000;2019-06-30 00:00:00.000;O;
ET00100945;42756493BLC2002/PXL 232818 NORSE: Etude phase Ib/2 évaluant la sécurité, l'efficacité, la pharmacocinétique et la pharmacodynamique de l Erdafitinib plus JNJ-63723283, un anticorps monoclonal anti-PD-1 chez des patients avec un cancer urothélial métastatique ou chirurgicalement non résecable avec mutations FGFR;NCT03473743;600;Terminée;NULL;NULL;NULL;NULL;O;
ET00100948;C3441021 TALAPRO-2: Etude de phase III, randomisée, en double aveugle, en contrôlée, évaluant le talazoparib contre un placebo, en association à l'enzalutamide, chez des hommes atteints d'un cancer de la prostate métastatique résistant à la castration;NCT03395197;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET00100964;"MICCHADO : caractérisation moléculaire et immunologique des cancers pédiatriques à haut risque, au diagnostic, pendant le traitement et le suivi- Evaluations biologiques chez l'enfant, l'adolescent et le jeune adulte ";NCT03496402;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET12000081;"MOST : A two-step, multicenter, randomized, open-label, phase II study evaluating the clinical benefit of a maintenance therapy targeting tumor molecular alterations in patients with refractory or progressive solid tumors after first line metastatic chemotherapy     ";NCT02029001;400;Ouverte aux inclusions;2013-10-15 00:00:00.000;2016-10-15 00:00:00.000;NULL;NULL;O;
ET13000002;An International Clinical Trial for the diagnosis and treatment of children, adolescents and young adults with Ependymoma;NCT02265770;400;Ouverte aux inclusions;2014-12-31 00:00:00.000;NULL;2014-01-28 00:00:00.000;NULL;O;
ET14000071;Etude multicentrique de phase II de radiothérapie à fortes doses et hormonothérapie dans les rechutes oligométastatiques ganglionnaires pelviennes de cancer de la prostate.;NCT02274779;420;Close aux inclusions;2014-10-31 00:00:00.000;2016-11-30 00:00:00.000;2014-05-14 00:00:00.000;NULL;O;
ET14000109;PROSPECT : Le challenge de la maladie thromboembolique veineuse liée au cancer : pouvons-nous mieux prédire le risque ?;NCT02785757;420;Close aux inclusions;2015-03-09 00:00:00.000;2016-01-15 00:00:00.000;2014-02-17 00:00:00.000;NULL;O;
ET15000026;OMET GORTEC 2014 04  : essai de phase II randomisé de traitement systémique et radiothérapie stéréotaxique ablative vs radiothérapie stéréotaxique ablative seule pour le traitement d'oligometastases de cancers épidermoides des voies aerodigestives supérieures;NCT03070366;420;Close aux inclusions;NULL;NULL;2016-04-14 00:00:00.000;NULL;O;
ET15000031;"BEACON RG_ 11-087: Essai de phase II randomisé évaluant l’efficacité du Bevacizumab ajouté au Témozolomide ± Irinotecan chez les enfants porteur d’un neuroblastome réfractaire ou en rechute ";NCT02308527;600;Terminée;NULL;NULL;NULL;NULL;O;
ET15000039;Eurosarc Trial of Linsitinib in advanced Ewing Sarcoma : Phase II trial of Linsitinib (anti-IGF-1R/IR) in patients with relapsed and/or refractory Ewing Sarcoma;NCT02546544;600;Terminée;NULL;NULL;2015-04-08 00:00:00.000;NULL;N;
ET15000046;SIOP PNET 5: Etude internationale concernant les enfants de 5 ans atteints de médulloblastome de risque standard avec profil biologique de faible risque (PNET 5 MB- LR) ou de risque moyen (PNET 5 MB-SR).;NCT02066220;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000001;POLCA : Essai randomisé évaluant le report de la radiothérapie initiale chez des patients atteints de tumeurs oligodendrogliales anaplasiques avec codélétion 1p/19q traités par chimiothérapie;NCT02444000;420;Close aux inclusions;NULL;2022-10-31 00:00:00.000;NULL;NULL;O;
ET16000002;MK3475-158 : Essai clinique avec le Pembrolizumab (MK34-75) évaluant des biomarqueurs prédictifs chez des patients présentant des tumeurs solides avancée (KEYNOTE 158);NCT02628067;400;Ouverte aux inclusions;NULL;2017-07-31 00:00:00.000;NULL;NULL;O;
ET16000011;GEP 14-LEECAP : Phase I multicentrique d'escalade de dose, évaluant l'association du ribociclib et de la capécitabine chez les patientes avec un cancer du sein localement avancé ou métastatique HER2 négatif et préalablement traitées avec des anthracyclines et taxanes;NCT02754011;420;Close aux inclusions;2017-01-11 00:00:00.000;2017-03-31 00:00:00.000;2016-02-01 00:00:00.000;2017-05-31 00:00:00.000;O;
ET16000023;CATRIPCA : Etude de Phase I évaluant la combinaison thérapeutique associant un anticorps monoclonal PD1 (Pembrolizumab) à un antagoniste des protéines inhibitrices de l’apoptose (IAP « Inhibitors of Apotosis Proteins », Debio 1143) chez des patients atteints d’un cancer du pancréas ou colorectal de stade avancé ou métastatique et ne présentant pas une instabilité des microsatellites (IMS) élevée;NCT03871959;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000038;RB SFCE2009 : Traitement adjuvant dans les rétinoblastomes unilatéraux étendus énucléés d'emblée;NCT02870907;400;Ouverte aux inclusions;NULL;2019-12-31 00:00:00.000;NULL;NULL;O;
ET16000039;"STARTRK-2(RXDX-101-02)GO40782 : Etude Basket, ouverte, multicentrique, de phase II de l'Entrectinib pour le traitement des patients ayant des tumeurs solides avanc&eacute;es ou m&eacute;tastatiques pr&eacute;sentant des alt&eacute;rations mol&eacute;culaires de NTRK1/2/3, de ROS1 ou ALK";NCT02568267;420;Close aux inclusions;NULL;2018-04-30 00:00:00.000;NULL;NULL;O;
ET16000047;GIGIST-LB : Evaluation de l'efficacité d'un traitement adjuvant par Imatinib chez les patients porteurs d'une tumeur stromale gastro-intestinale de risque intermédiaire présentant un genomic index de mauvais pronostic. Etude multicentrique, prospective, randomisée;NCT02576080;420;Close aux inclusions;NULL;2018-11-30 00:00:00.000;2016-07-05 00:00:00.000;NULL;O;
ET16000052;ALTITUDES-1508 : Base Clinico-Biologique nationale des cas incidents de tumeurs desmoïdes;NCT02867033;410;Suspendue aux inclusions;NULL;2018-06-30 00:00:00.000;NULL;NULL;O;
ET16000065;RADIOSARP : Association concomitante de l’Olaparib et de la radiotherapie chez les patients porteurs d’un sarcome des tissus mous localement avancé et/ou inopérable : étude de phase Ib PROTOCOLE N° 2015-05;NCT02787642;420;Close aux inclusions;2017-04-06 00:00:00.000;NULL;2017-03-01 00:00:00.000;NULL;O;
